‽A Chronicle of Corpses‽,‽13‽,‽596‽,‽19‽
‽Hamlet‽,‽2‽,‽22‽,‽0‽
‽On Hostile Ground‽,‽16‽,‽406‽,‽9‽
‽All the Pretty Horses‽,‽62‽,‽881‽,‽26‽
‽Cast Away‽,‽53‽,‽1329‽,‽47‽
‽The Family Man‽,‽61‽,‽1323‽,‽36‽
‽Miss Congeniality‽,‽57‽,‽693‽,‽17‽
‽But Forever in My Mind‽,‽21‽,‽500‽,‽20‽
‽Dude, Where's My Car?‽,‽23‽,‽430‽,‽16‽
‽What Women Want‽,‽63‽,‽941‽,‽22‽
‽The Emperor's New Groove‽,‽25‽,‽656‽,‽28‽
‽Strippers‽,‽11‽,‽174‽,‽10‽
‽Proof of Life‽,‽44‽,‽976‽,‽37‽
‽Vertical Limit‽,‽24‽,‽679‽,‽19‽
‽Moon Shadow‽,‽18‽,‽441‽,‽17‽
‽Quills‽,‽37‽,‽778‽,‽22‽
‽Unbreakable‽,‽51‽,‽900‽,‽27‽
‽102 Dalmatians‽,‽32‽,‽645‽,‽15‽
‽Bounce‽,‽44‽,‽994‽,‽28‽
‽Suspended Animation‽,‽6‽,‽473‽,‽19‽
‽Ali‽,‽66‽,‽1753‽,‽48‽
‽Kate & Leopold‽,‽39‽,‽903‽,‽17‽
‽Joe Somebody‽,‽34‽,‽659‽,‽30‽
‽How High‽,‽12‽,‽458‽,‽10‽
‽The Majestic‽,‽50‽,‽919‽,‽26‽
‽Jimmy Neutron: Boy Genius‽,‽31‽,‽758‽,‽16‽
‽The Lord of the Rings: The Fellowship of the Ring‽,‽55‽,‽1206‽,‽35‽
‽Not Another Teen Movie‽,‽41‽,‽854‽,‽23‽
‽Vanilla Sky‽,‽71‽,‽1149‽,‽36‽
‽The Business of Strangers‽,‽34‽,‽838‽,‽51‽
‽Ocean's Eleven‽,‽74‽,‽1561‽,‽29‽
‽Texas Rangers‽,‽22‽,‽463‽,‽19‽
‽The Affair of the Necklace‽,‽40‽,‽928‽,‽33‽
‽Behind Enemy Lines‽,‽43‽,‽785‽,‽34‽
‽Spy Game‽,‽40‽,‽1009‽,‽29‽
‽Black Knight‽,‽24‽,‽699‽,‽22‽
‽Out Cold‽,‽23‽,‽476‽,‽11‽
‽Sidewalks of New York‽,‽33‽,‽752‽,‽27‽
‽Shottas‽,‽10‽,‽324‽,‽12‽
‽Hell's Highway‽,‽27‽,‽683‽,‽25‽
‽Pinocchio‽,‽35‽,‽955‽,‽14‽
‽Catch Me If You Can‽,‽58‽,‽1207‽,‽35‽
‽Gangs of New York‽,‽87‽,‽1927‽,‽58‽
‽Two Weeks Notice‽,‽45‽,‽802‽,‽19‽
‽The Wild Thornberrys Movie‽,‽15‽,‽493‽,‽6‽
‽The Lord of the Rings: The Two Towers‽,‽48‽,‽1284‽,‽30‽
‽Drumline‽,‽35‽,‽623‽,‽14‽
‽The Hot Chick‽,‽42‽,‽646‽,‽29‽
‽Evelyn‽,‽38‽,‽717‽,‽25‽
‽Star Trek: Nemesis‽,‽43‽,‽852‽,‽26‽
‽Maid in Manhattan‽,‽66‽,‽999‽,‽23‽
‽Analyze That‽,‽35‽,‽916‽,‽28‽
‽Equilibrium‽,‽23‽,‽603‽,‽16‽
‽Extreme Ops‽,‽27‽,‽640‽,‽21‽
‽Solaris‽,‽42‽,‽1050‽,‽54‽
‽Broken Wings‽,‽20‽,‽575‽,‽41‽
‽Confessions of a Burning Man‽,‽16‽,‽274‽,‽10‽
‽Peter Pan‽,‽48‽,‽584‽,‽21‽
‽Paycheck‽,‽49‽,‽896‽,‽48‽
‽The Young Black Stallion‽,‽25‽,‽582‽,‽8‽
‽Cold Mountain‽,‽60‽,‽1080‽,‽31‽
‽Mona Lisa Smile‽,‽46‽,‽825‽,‽25‽
‽The Lord of the Rings: The Return of the King‽,‽45‽,‽1316‽,‽43‽
‽Something's Gotta Give‽,‽62‽,‽905‽,‽46‽
‽Stuck on You‽,‽51‽,‽1108‽,‽19‽
‽Love Don't Cost a Thing‽,‽21‽,‽434‽,‽6‽
‽The Last Samurai‽,‽43‽,‽1257‽,‽45‽
‽Honey‽,‽39‽,‽587‽,‽9‽
‽Bad Santa‽,‽42‽,‽854‽,‽34‽
‽The Missing‽,‽29‽,‽777‽,‽40‽
‽The Haunted Mansion‽,‽35‽,‽666‽,‽24‽
‽Timeline‽,‽21‽,‽497‽,‽13‽
‽Gothika‽,‽28‽,‽751‽,‽32‽
‽Suspect Zero‽,‽18‽,‽580‽,‽20‽
‽Hero‽,‽43‽,‽882‽,‽30‽
‽Exorcist: The Beginning‽,‽33‽,‽845‽,‽33‽
‽Without a Paddle‽,‽29‽,‽632‽,‽41‽
‽Nicotina‽,‽20‽,‽533‽,‽17‽
‽We Don't Live Here Anymore‽,‽53‽,‽1243‽,‽64‽
‽The Princess Diaries 2: Royal Engagement‽,‽33‽,‽700‽,‽19‽
‽Collateral‽,‽48‽,‽1104‽,‽28‽
‽Open Water‽,‽24‽,‽673‽,‽34‽
‽Little Black Book‽,‽26‽,‽698‽,‽16‽
‽The Manchurian Candidate‽,‽73‽,‽1261‽,‽58‽
‽Intimate Strangers‽,‽34‽,‽747‽,‽31‽
‽The Village‽,‽45‽,‽854‽,‽35‽
‽Garden State‽,‽33‽,‽825‽,‽31‽
‽She Hate Me‽,‽19‽,‽826‽,‽39‽
‽The Bourne Supremacy‽,‽37‽,‽900‽,‽30‽
‽What Is It?‽,‽10‽,‽362‽,‽7‽
‽See No Evil‽,‽9‽,‽295‽,‽20‽
‽Grizzly Man‽,‽52‽,‽1148‽,‽46‽
‽Stealth‽,‽35‽,‽679‽,‽32‽
‽Bewitched‽,‽59‽,‽1022‽,‽31‽
‽Melinda and Melinda‽,‽55‽,‽1057‽,‽43‽
‽Are We There Yet?‽,‽18‽,‽560‽,‽18‽
‽Mughal-E-Azam‽,‽5‽,‽116‽,‽0‽
‽Saving Marriage‽,‽10‽,‽266‽,‽7‽
‽10 Questions for the Dalai Lama‽,‽9‽,‽270‽,‽3‽
‽The Real Dirt on Farmer John‽,‽5‽,‽267‽,‽9‽
‽G.I. Jesus‽,‽12‽,‽404‽,‽11‽
‽Black Christmas‽,‽10‽,‽301‽,‽22‽
‽The Good Shepherd‽,‽64‽,‽1299‽,‽38‽
‽Night at the Museum‽,‽32‽,‽812‽,‽28‽
‽We Are Marshall‽,‽15‽,‽732‽,‽30‽
‽Rocky Balboa‽,‽35‽,‽735‽,‽26‽
‽Charlotte's Web‽,‽63‽,‽877‽,‽14‽
‽The Pursuit of Happyness‽,‽65‽,‽851‽,‽37‽
‽Eragon‽,‽16‽,‽306‽,‽8‽
‽Dreamgirls‽,‽60‽,‽1262‽,‽40‽
‽Unaccompanied Minors‽,‽16‽,‽405‽,‽15‽
‽Ever Again‽,‽18‽,‽386‽,‽16‽
‽The Holiday‽,‽61‽,‽705‽,‽24‽
‽Blood Diamond‽,‽52‽,‽959‽,‽47‽
‽Off the Black‽,‽22‽,‽676‽,‽25‽
‽Apocalypto‽,‽43‽,‽1041‽,‽37‽
‽Quantum Hoops‽,‽6‽,‽247‽,‽4‽
‽Aliens vs. Predator: Requiem‽,‽20‽,‽471‽,‽9‽
‽The Water Horse‽,‽12‽,‽296‽,‽9‽
‽The Great Debaters‽,‽57‽,‽964‽,‽23‽
‽Sweeney Todd: The Demon Barber of Fleet Street‽,‽47‽,‽986‽,‽53‽
‽Charlie Wilson's War‽,‽51‽,‽943‽,‽44‽
‽Walk Hard: The Dewey Cox Story‽,‽33‽,‽792‽,‽21‽
‽National Treasure: Book of Secrets‽,‽30‽,‽599‽,‽12‽
‽P.S. I Love You‽,‽65‽,‽699‽,‽34‽
‽The District‽,‽18‽,‽274‽,‽6‽
‽The Singing Revolution‽,‽7‽,‽286‽,‽2‽
‽Half Moon‽,‽12‽,‽277‽,‽10‽
‽I Am Legend‽,‽43‽,‽775‽,‽20‽
‽Alvin and the Chipmunks‽,‽12‽,‽325‽,‽7‽
‽The Perfect Holiday‽,‽30‽,‽405‽,‽10‽
‽The Golden Compass‽,‽44‽,‽951‽,‽26‽
‽Juno‽,‽57‽,‽824‽,‽21‽
‽We Pedal Uphill‽,‽7‽,‽288‽,‽8‽
‽Pageant‽,‽16‽,‽254‽,‽10‽
‽The Curious Case of Benjamin Button‽,‽63‽,‽1083‽,‽23‽
‽Valkyrie‽,‽36‽,‽895‽,‽27‽
‽The Spirit‽,‽35‽,‽583‽,‽15‽
‽Bedtime Stories‽,‽28‽,‽582‽,‽21‽
